pno,prop,st,mkt,loc,units,rev,noiar,debtsvc,cflow,reno,corpexp,netcf,margin,occ,eocc,sqft,debt,lender,date,draws
120,Hilton Head,TX,Dallas,Dallas/FtWorth,380,3106399,1443660,781437,662223,88279,-76748,650692,0.46,91.58,88.34,263860,13520000,Lincoln Natl,15-Jun,0
150,Valrico Station,FL,Tampa,St Pete/Tampa,208,1325695,475884,366072,109811,12747351,-282887,-12354654,0.36,72.6,57.86,172096,12060146,BB&T,15-Jun,10610
162,Stonebrook,TN,Memphis,Memphis,244,1760039,419180,269226,149954,140506,18065,-8617,0.24,87.3,81.1,238640,4509966,Fannie Mae,15-Jun,0
166,Horizons at Sunridge,TX,Fort Worth,Dallas/FtWorth,272,2148900,801648,429387,372261,214117,47924,110220,0.37,93.75,89.06,203712,7991699,Fannie Mae,15-Jun,0
180,St. Johns Pointe,FL,Jacksonville,Jaxville/PalmBay,284,2534928,971556,274299,697257,278191,15003,404063,0.38,93.66,89.09,297200,8843580,Wells Fargo,15-Jun,0
210,Edenwood,SC,Columbia,Columbia,168,1242192,551727,265825,285902,321068,31775,-66941,0.44,92.86,85.52,149720,5172004,Fannie Mae,15-Jun,0
220,Three Rivers,SC,Columbia,Columbia,108,934812,271116,170677,100439,48700,23183,28557,0.29,96.3,87.02,119826,3128902,Fannie Mae,15-Jun,0
230,Farrington,SC,Columbia,Columbia,158,1238683,316849,201872,114976,145178,35293,-65495,0.26,93.67,91.14,180500,3701463,Fannie Mae,15-Jun,0
240,Siena Courtyard,TX,Houston,Houston/BayCity,200,1333937,384802,84539,300263,88461,21644,190157,0.29,89,92.12,157040,2529478,Wells Fargo,15-Jun,0
265,Addison Landing,FL,Jacksonville,Jaxville/PalmBay,289,2949456,1204874,719015,485858,1229997,-19585,-724554,0.41,96.54,89.08,325451,13935308,State Farm,15-Jun,432000
275,Parc at Dunwoody,GA,Atlanta,Atlanta,312,2533249,932958,434987,497970,966597,-54284,-414342,0.37,90.71,80.66,273996,13451724,Wells Fargo,15-Jun,694000
280,Madalyn Landing,FL,Palm Bay,Jaxville/PalmBay,304,1186538,572503,287291,285212,3621,352338,-70747,0.48,97.04,95.03,295232,12170371,Fannie Mae,15-Jun,0
300,Normandy Woods,TX,Houston,Houston/BayCity,268,2363506,1153636,524292,629344,77881,39239,512223,0.49,94.4,89.26,207416,6614422,Fannie Mae,15-Jun,0
305,Parque at Bellaire,TX,Houston,Houston/BayCity,201,2045958,990806,391584,599222,96027,31805,471390,0.48,95.02,90.63,193963,6300568,Fannie Mae,15-Jun,0
310,Dakota Ridge,TX,Fort Worth,Dallas/FtWorth,272,1874538,614321,295194,319126,60847,21101,237178,0.33,98.53,96.17,184080,4749659,Fannie Mae,15-Jun,0
315,The Palms of Clearwater,FL,Tampa,St Pete/Tampa,200,2058867,1007257,570219,437037,111136,20492,305409,0.49,94.5,93.13,156400,8582610,Bank of Tampa,15-Jun,0
325,Snug Harbor,TX,Dallas,Dallas/FtWorth,236,1835588,706911,83080,623830,82748,73016,468067,0.39,95.34,89.65,178829,2875245,Northern Trust,15-Jun,0
332,Mount Vernon,TX,Dallas,Dallas/FtWorth,432,3737758,1660279,595908,1064372,6533212,-548222,-4920618,0.44,89.81,88.2,368660,21136887,Wells Fargo,15-Jun,5720000
335,Landings at Boot Ranch,FL,Tampa,St Pete/Tampa,232,3219268,1798433,871650,926784,1363377,17939,-454533,0.56,92.67,86.58,248614,13297589,NW Mutual,15-Jun,0
350,The Park at Wintergreen,TX,Dallas,Dallas/FtWorth,256,2306009,1006948,519402,487546,151900,43731,291915,0.44,94.14,91.01,204544,6625087,Fannie Mae,15-Jun,0
352,Hunters Cove,TX,Bay City,Houston/BayCity,326,2286829,904947,189013,715934,172383,6807,536744,0.4,91.41,88.66,305048,4121925,Wells Fargo,15-Jun,0
355,Deerfield,TX,Dallas,Dallas/FtWorth,256,2012661,853226,417997,435229,144981,8841,281407,0.42,95.7,94,181200,5469585,Fannie Mae,15-Jun,0
360,Sage Pointe,TX,Dallas,Dallas/FtWorth,486,3235389,1073219,814374,258846,181041,52430,25374,0.33,95.27,92.14,311858,10656261,Fannie Mae,15-Jun,0
365,Turtle Pointe,TX,Houston,Houston/BayCity,432,3696389,1489641,557836,931805,218818,57857,655130,0.4,93.75,90.58,313004,9940373,Freddie Mac,15-Jun,0
380,Westridge,TX,Fort Worth,Dallas/FtWorth,176,1277002,405030,180731,224299,42514,21121,160664,0.32,94.89,93.35,139776,2907954,Fannie Mae,15-Jun,0
385,Hidden Colony,GA,Atlanta,Atlanta,280,2577263,905201,563788,341413,113792,14600,213021,0.35,90.71,83.64,350600,9347468,Freddie Mac,15-Jun,0
390,Spaulding Hills,GA,Atlanta,Atlanta,98,998131,392065,217795,174270,39589,7293,127388,0.39,98.98,95.17,104106,3558382,Freddie Mac,15-Jun,0
