pno,prop,noiar,debtsvc,cfds,reno,corpexp,cf,physocc,econocc,units,rev,st,mkt,sqft,margin,debtcvg,revunits,noiarunits,debtsvcunits,revsqft,noiarsqft,sqftunits,pctnoiar,pctrev,pctunits,pctsqft,pctdebtsvc,pctcfds,t12date
120,    Hilton Head,1344.20,779.70,564.50,285.40,43.30,235.90,96.05,84.79,380,2875.9,TX,Dallas,263860,0.47,1.72,7568.28,3537.41,2051.92,10.9,5.09,694.37,0.06,0.06,0.06,1.43,0.08,0.05,14-Jul
150,    Valrico Station,590.30,9.30,581.00,2009.80,71.00,-1499.80,85.81,75.21,148,1317.1,FL,Tampa,102404,0.45,63.51,8899,3988.33,62.79,12.86,5.76,691.92,0.03,0.03,0.02,0.56,0,0.05,14-Jul
162,    Stonebrook,627.00,397.40,229.60,81.30,32.70,115.60,89.34,81.43,244,1761.9,TN,Memphis,238640,0.36,1.58,7221.03,2569.72,1628.61,7.38,2.63,978.03,0.03,0.03,0.04,1.3,0.04,0.02,14-Jul
166,    Horizons at Sunridge,815.00,530.80,284.20,247.40,30.10,6.70,93.75,81.20,272,1992.1,TX,Fort Worth,203712,0.41,1.54,7323.96,2996.47,1951.57,9.78,4,748.94,0.04,0.04,0.04,1.11,0.05,0.03,14-Jul
180,    St. Johns Pointe,976.70,261.90,714.70,281.40,28.10,405.20,92.61,85.74,284,2391.1,FL,Jacksonville,297200,0.41,3.73,8419.44,3439.05,922.33,8.05,3.29,1046.48,0.05,0.05,0.04,1.61,0.03,0.06,14-Jul
210,    Edenwood,561.60,107.90,453.70,4.90,21.90,426.90,92.26,81.27,168,1220.4,SC,Columbia,149720,0.46,5.2,7264.38,3342.75,642.41,8.15,3.75,891.19,0.03,0.02,0.03,0.81,0.01,0.04,14-Jul
220,    Three Rivers,328.40,192.70,135.70,5.80,16.60,113.30,97.22,88.46,108,926,SC,Columbia,119826,0.35,1.7,8574.06,3040.94,1784.54,7.73,2.74,1109.5,0.02,0.02,0.02,0.65,0.02,0.01,14-Jul
230,    Farrington,368.80,103.40,265.50,49.20,24.80,191.50,94.30,83.28,158,1205.6,SC,Columbia,180500,0.31,3.57,7630.56,2334.45,654.28,6.68,2.04,1142.41,0.02,0.02,0.02,0.98,0.01,0.02,14-Jul
240,    Siena Courtyard,388.40,95.60,292.80,223.30,20.90,48.60,91.00,73.52,200,1245.4,TX,Houston,157040,0.31,4.06,6227.03,1942.11,478.07,7.93,2.47,785.2,0.02,0.02,0.03,0.85,0.01,0.03,14-Jul
265,    Addison Landing,1468.20,752.10,716.20,871.70,38.10,-193.70,91.70,83.15,289,2886.9,FL,Jacksonville,325451,0.51,1.95,9989.29,5080.4,2602.34,8.87,4.51,1126.13,0.07,0.06,0.04,1.77,0.08,0.07,14-Jul
275,    Parc at Dunwoody,567.70,296.20,271.50,639.20,294.60,-662.30,90.71,84.53,312,1366.2,GA,Atlanta,273996,0.42,1.92,4378.74,1819.48,949.21,4.99,2.07,878.19,0.03,0.03,0.05,1.49,0.03,0.02,14-Jul
300,    Normandy Woods,1057.30,524.30,533.00,106.90,32.70,393.40,93.66,85.18,268,2206.9,TX,Houston,207416,0.48,2.02,8234.88,3945.09,1956.37,10.64,5.1,773.94,0.05,0.04,0.04,1.13,0.05,0.05,14-Jul
305,    Parque at Bellaire,814.30,385.50,428.80,130.60,28.40,269.90,96.52,91.43,201,1826.8,TX,Houston,193963,0.45,2.11,9088.32,4051.43,1917.94,9.42,4.2,964.99,0.04,0.04,0.03,1.05,0.04,0.04,14-Jul
310,    Dakota Ridge,546.90,295.20,251.70,295.20,13.40,-56.90,95.22,82.95,272,1727,TX,Fort Worth,184080,0.32,1.85,6349.24,2010.57,1085.28,9.38,2.97,676.76,0.03,0.03,0.04,1,0.03,0.02,14-Jul
315,    The Palms of Clearwater,1015.00,571.90,443.10,243.50,30.30,169.30,94.50,80.90,200,1961.1,FL,Tampa,156400,0.52,1.77,9805.52,5074.96,2859.56,12.54,6.49,782,0.05,0.04,0.03,0.85,0.06,0.04,14-Jul
325,    Snug Harbor,535.50,47.40,488.10,106.00,27.40,354.70,94.49,79.22,236,1622.6,TX,Dallas,178829,0.33,11.29,6875.54,2269.08,200.9,9.07,2.99,757.75,0.03,0.03,0.04,0.97,0,0.04,14-Jul
332,    Mount Vernon,1321.30,268.60,1052.70,7088.90,51.70,-6087.80,85.16,77.99,384,3129.9,TX,Dallas,309591,0.42,4.92,8150.75,3440.98,699.51,10.11,4.27,806.23,0.06,0.06,0.06,1.68,0.03,0.1,14-Jul
335,    Landings at Boot Ranch West,1594.80,860.40,734.40,1812.40,37.90,-1115.80,91.81,80.19,232,2905.3,FL,Tampa,248614,0.55,1.85,12522.81,6874.25,3708.65,11.69,6.41,1071.61,0.08,0.06,0.03,1.35,0.09,0.07,14-Jul
350,    Wintergreen,925.50,519.40,406.10,99.00,35.80,271.30,92.58,85.43,256,2139.2,TX,Dallas,204544,0.43,1.78,8356.13,3615.13,2028.96,10.46,4.52,799,0.04,0.04,0.04,1.11,0.05,0.04,14-Jul
352,    Hunters Cove,563.30,253.50,309.80,634.30,26.40,-350.90,92.02,84.28,326,1745.4,TX,Bay City,305048,0.32,2.22,5354.09,1727.9,777.68,5.72,1.85,935.73,0.03,0.03,0.05,1.66,0.03,0.03,14-Jul
355,    Deerfield,663.80,418.00,245.70,838.40,29.30,-621.90,95.70,87.23,256,1810.2,TX,Dallas,181200,0.37,1.59,7071.18,2592.78,1632.84,9.99,3.66,707.81,0.03,0.04,0.04,0.98,0.04,0.02,14-Jul
360,    Sage Pointe,883.60,814.40,69.20,340.60,44.50,-315.90,87.24,72.71,486,2864.5,TX,Dallas,311858,0.31,1.09,5894.04,1818.17,1675.7,9.19,2.83,641.68,0.04,0.06,0.07,1.69,0.08,0.01,14-Jul
365,    Turtle Pointe,1382.00,558.80,823.10,338.70,54.40,430.00,95.37,86.20,432,3321,TX,Houston,313004,0.42,2.47,7687.58,3199.04,1293.63,10.61,4.42,724.55,0.07,0.07,0.06,1.7,0.06,0.07,14-Jul
380,    Westridge,358.30,180.70,177.60,181.40,18.30,-22.10,93.18,86.40,176,1149.9,TX,Fort Worth,139776,0.31,1.98,6533.49,2035.82,1026.89,8.23,2.56,794.18,0.02,0.02,0.03,0.76,0.02,0.02,14-Jul
385,    Hidden Colony,922.10,563.80,358.30,702.10,37.50,-381.30,91.79,88.06,280,2536.7,GA,Atlanta,350600,0.36,1.64,9059.61,3293.32,2013.54,7.24,2.63,1252.14,0.04,0.05,0.04,1.9,0.06,0.03,14-Jul
390,    Spaulding Hills,391.40,219.50,171.90,170.50,12.70,-11.40,93.88,94.92,98,937.7,GA,Atlanta,104106,0.42,1.78,9568.35,3993.87,2240.03,9.01,3.76,1062.31,0.02,0.02,0.01,0.57,0.02,0.02,14-Jul
